time,mpa,kd,n,year,month,doy
2003-01-01T00:00:00Z,Turneffe Atoll,0.041,12,2003,1,1
2003-01-01T00:00:00Z,South Water Caye,0.106,1,2003,1,1
2003-01-01T00:00:00Z,Emily or Caye Glory,0.036,1,2003,1,1
2003-01-01T00:00:00Z,Halfmoon Caye,0.031,1,2003,1,1
2003-01-08T00:00:00Z,Hol Chan,0.052,1,2003,1,8
2003-01-08T00:00:00Z,Turneffe Atoll,0.048,27,2003,1,8
2003-01-08T00:00:00Z,Caye Caulker,0.054,1,2003,1,8
2003-01-08T00:00:00Z,Emily or Caye Glory,0.052,1,2003,1,8
2003-01-08T00:00:00Z,Caye Bokel Turneffe Atoll,0.049,1,2003,1,8
2003-01-08T00:00:00Z,Maugre Caye Turneffe Atoll,0.044,1,2003,1,8
2003-01-08T00:00:00Z,Corozal Bay,1.308,4,2003,1,8
2003-01-08T00:00:00Z,Swallow Caye,0.199,2,2003,1,8
2003-01-09T00:00:00Z,Port Honduras,0.084,3,2003,1,9
2003-01-09T00:00:00Z,Hol Chan,0.048,1,2003,1,9
2003-01-09T00:00:00Z,Turneffe Atoll,0.055,4,2003,1,9
2003-01-09T00:00:00Z,Caye Caulker,0.045,1,2003,1,9
2003-01-09T00:00:00Z,Rocky Point Ambergris Caye,0.045,1,2003,1,9
2003-01-10T00:00:00Z,Sapodilla Cayes Marine Reserve,0.069,1,2003,1,10
2003-01-10T00:00:00Z,Port Honduras,0.086,12,2003,1,10
2003-01-10T00:00:00Z,Gladden Spit and Silk Cayes,0.065,1,2003,1,10
2003-01-10T00:00:00Z,Turneffe Atoll,0.046,36,2003,1,10
2003-01-10T00:00:00Z,Caye Caulker,0.043,1,2003,1,10
2003-01-10T00:00:00Z,Gladden Spit,0.076,1,2003,1,10
2003-01-10T00:00:00Z,Northern Glover's Reef,0.098,1,2003,1,10
2003-01-10T00:00:00Z,Caye Bokel Turneffe Atoll,0.047,1,2003,1,10
2003-01-10T00:00:00Z,South Point,0.054,1,2003,1,10
2003-01-10T00:00:00Z,Dog Flea Caye Turneffe Atoll,0.043,1,2003,1,10
2003-01-10T00:00:00Z,Maugre Caye Turneffe Atoll,0.045,1,2003,1,10
2003-01-10T00:00:00Z,Laughing Bird Caye,0.079,1,2003,1,10
2003-01-10T00:00:00Z,Halfmoon Caye,0.042,1,2003,1,10
2003-01-10T00:00:00Z,Blue Hole,0.055,1,2003,1,10
2003-01-10T00:00:00Z,Corozal Bay,0.271,6,2003,1,10
2003-01-12T00:00:00Z,Hol Chan,0.053,1,2003,1,12
2003-01-12T00:00:00Z,Bacalar Chico,0.039,1,2003,1,12
